"cust_id","student_id","faculty_id","cust_name","email","cust_contact_numbers"
19482,NULL,85001,"William Storm","wstorm@eastern.edu","610-342-1461"
23532,NULL,85002,"Lucas Stromberg","lstromberg@eastern.edu","610-342-1462"
63467,NULL,10101,"Walter Huddell","whuddell@eastern.edu","610-225-5530"
96356,NULL,10102,"Gregory Longo","glongo@eastern.edu","610-225-5531"
26434,NULL,10103,"Nicola McLallen","nmcLallen@eastern.edu","610-225-5532"
76356,NULL,10104,"Micheal Morabito","mmorabito@eastern.edu","610-225-5533"
34523,NULL,10105,"Brandi Henry","bhenry@eastern.edu","610-225-5534"
45623,NULL,76000,"Lorie Thomas","lthomas@eastern.edu","610-342-1470"
9234,NULL,76001,"Mary jones","mjones@eastern.edu","610-342-1471"
1244,NULL,36004,"Jeanne Bundens","jbundens@eastern.edu","610-437-1441"
52124,NULL,36005,"Joseph Karpinski","jkarpinski@eastern.edu","610-437-1442"
9576,NULL,36058,"Jeffrey Lawton","jlawton@eastern.edu","610-437-1446"
65457,19991,NULL,"Jules Brandt","jules.brandt@eastern.edu","419-326-0712"
87547,23121,NULL,"Juan Chavez","juan.chavez@eastern.edu"," 231-881-4310"
12353,44552,NULL,"Jah Peltier","jah.peltier@eastern.edu","215-547-9097"
35234,45678,NULL,"Chance Levy","chance.levy@eastern.edu"," 505-644-0457"
76567,54321,NULL,"Walter Williams","walter.williams@eastern.edu","505-644-0227"
22412,55739,NULL,"Jose Sanchez","jose.sanchez@eastern.edu"," 208-541-4879"
87588,70557,NULL,"Jon Snow","jon.snow@eastern.edu"," 582-222-1973"
65498,76543,NULL,"Micheal Brown","micheal.brown@eastern.edu","202-897-4143"
32543,76653,NULL,"Trevor Aoi","trevor.aoi@eastern.edu","512-415-4114"
76543,98765,NULL,"Nick Bourikas","nick.bourikas@eastern.edu","505-712-7572"
77230,NULL,NULL,"Juley Brand","juley.brand@gmail.com","419-326-0711"
77231,NULL,NULL,"John lee","john.lee@gmail.com","419-335-0711"
77232,NULL,NULL,"Mike Rex","mike.rex@gmail.com","419-329-0731"
77234,NULL,NULL,"Ned Flanders","ned.flanders@gmail.com","419-356-0711"
77235,NULL,NULL,"Bart Simpson","bart.simpson@gmail.com","419-376-0734"
