"van_id","employees_id","driver_license_number","time_left","datee","time_arrived","gas_amount"
45566,128,471482,"2022-04-22 13:23:44","2022-04-22","15:45:21","0.50"
45567,128,471482,"2022-04-22 16:00:00","2022-04-22","16:45:30","0.35"
10101,12345,378591,"2022-04-23 08:30:00","2022-04-23","10:00:00","1.00"
45568,128,471482,"2022-04-23 13:30:44","2022-04-23","15:45:21","0.90"
45569,128,471482,"2022-04-23 16:00:00","2022-04-23","16:45:30","0.75"
76543,23121,350286,"2022-04-24 13:23:44","2022-04-24","15:45:21","0.50"
76544,23121,350286,"2022-04-24 16:00:00","2022-04-24","16:45:30","0.35"
45560,128,471482,"2022-04-25 08:30:00","2022-04-25","10:00:00","1.00"
10102,12345,378591,"2022-04-25 13:30:44","2022-04-25","15:45:21","0.90"
45562,128,471482,"2022-04-25 16:00:00","2022-04-25","16:45:30","0.75"
