faculty_id,department_id,first_name,last_name,email,contact_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,100000,Walter,Huddell,whuddell@eastern.edu,610-225-5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,100000,Gregory,Longo,glongo@eastern.edu,610-225-5531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,100000,Nicola,McLallen,nmcLallen@eastern.edu,610-225-5532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,100000,Micheal,Morabito,mmorabito@eastern.edu,610-225-5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105,100000,Brandi,Henry,bhenry@eastern.edu,610-225-5534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65000,900000,Maria,Fichera,mfichera@eastern.edu,610-341-1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65001,900000,Wayne,Lutz,wlutz@eastern.edu,610-341-1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65002,900000,David,Unander,dunander@eastern.edu,610-341-1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85000,850000,Christopher,Bittenbender,cbittenbender@eastern.edu,610-342-1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85001,850000,William,Storm,wstorm@eastern.edu,610-342-1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85002,850000,Lucas,Stromberg,lstromberg@eastern.edu,610-342-1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85003,850000,Katrina,Hayes,khayes@eastern.edu,610-342-1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76000,120000,Lorie,Thomas,lthomas@eastern.edu,610-342-1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76001,120000,Mary,Jones,mjones@eastern.edu,610-342-1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56000,125000,Kelly,Goddard,kgoddard@eastern.edu,610-347-1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56001,125000,Micheal,Thomas,mthomas@eastern.edu,610-347-1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56002,125000,Ally,Rosario,arosario@eastern.edu,610-347-1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46000,500000,Micheal,Lee,mlee@eastern.edu,610-357-1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46001,500000,Johnathan,Reimer,jreimer@eastern.edu,610-357-1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46002,500000,Micheal,Dondzilla,mdondzilla@eastern.edu,610-357-1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36000,800000,Steven,Ford,sford@eastern.edu,610-457-1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36001,800000,Emily,Patsin,epatsin@eastern.edu,610-457-1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36650,700000,Joseph,Giammarco,jgiammarco@eastern.edu,610-457-1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36004,950000,Jeanne,Bundens,jbundens@eastern.edu,610-437-1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36005,950000,Joseph,Karpinski,jkarpinski@eastern.edu,610-437-1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36058,950000,Jeffrey,Lawton,jlawton@eastern.edu,610-437-1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
