"student_id","first_name","last_name","email","contact_number"
128,"Micheal","Zhang","micheal.zhang@eastern.edu","202-918-2132"
12345,"Aroon","Shankar","aroon.shankar@eastern.edu","582-529-5188"
19991,"Jules","Brandt","jules.brandt@eastern.edu","419-326-0712"
23121,"Juan","Chavez","juan.chavez@eastern.edu"," 231-881-4310"
44552,"Jah","Peltier","jah.peltier@eastern.edu","215-547-9097"
45678,"Chance","Levy","chance.levy@eastern.edu"," 505-644-0457"
54321,"Walter","Williams","walter.williams@eastern.edu","505-644-0227"
55739,"Jose","Sanchez","jose.sanchez@eastern.edu"," 208-541-4879"
70557,"Jon","Snow","jon.snow@eastern.edu"," 582-222-1973"
76543,"Micheal","Brown","micheal.brown@eastern.edu","202-897-4143"
76653,"Trevor","Aoi","trevor.aoi@eastern.edu","512-415-4114"
98765,"Nick","Bourikas","nick.bourikas@eastern.edu","505-712-7572"
98988,"Mike","Tanaka","mike.tanaka@eastern.edu","582-583-3559"
